Xing Wang
Problem: QueueControl_d
CPU Time: 13.0230 seconds
Expected Total Reward: 8823.0788 
Optimal Policy: 
State: 85 ------> [[15, 70], [15, 70], [15, 70], [15, 70], [15, 70], [15, 70], [15, 70], [15, 70], [15, 70], [15, 70]]
State: 86 ------> [[16, 70], [16, 70], [16, 70], [16, 70], [16, 70], [16, 70], [16, 70], [16, 70], [16, 70], [16, 70]]
State: 87 ------> [[16, 71], [16, 71], [16, 71], [16, 71], [16, 71], [16, 71], [16, 71], [16, 71], [16, 71], [16, 71]]
State: 88 ------> [[17, 71], [17, 71], [17, 71], [17, 71], [17, 71], [17, 71], [17, 71], [17, 71], [17, 71], [17, 71]]
State: 89 ------> [[17, 72], [17, 72], [17, 72], [17, 72], [17, 72], [17, 72], [17, 72], [17, 72], [17, 72], [17, 72]]
State: 90 ------> [[18, 72], [18, 72], [18, 72], [18, 72], [18, 72], [18, 72], [18, 72], [18, 72], [18, 72], [18, 72]]
State: 91 ------> [[18, 73], [18, 73], [18, 73], [18, 73], [18, 73], [18, 73], [18, 73], [18, 73], [18, 73], [18, 73]]
State: 92 ------> [[19, 73], [19, 73], [19, 73], [19, 73], [19, 73], [19, 73], [19, 73], [19, 73], [19, 73], [19, 73]]
State: 93 ------> [[19, 74], [19, 74], [19, 74], [19, 74], [19, 74], [19, 74], [19, 74], [19, 74], [19, 74], [19, 74]]
State: 94 ------> [[20, 74], [20, 74], [20, 74], [20, 74], [20, 74], [20, 74], [20, 74], [20, 74], [20, 74], [20, 74]]
State: 95 ------> [[20, 75], [20, 75], [20, 75], [20, 75], [20, 75], [20, 75], [20, 75], [20, 75], [20, 75], [20, 75]]
State: 96 ------> [[21, 75], [21, 75], [21, 75], [21, 75], [21, 75], [21, 75], [21, 75], [21, 75], [21, 75], [21, 75]]
State: 97 ------> [[21, 76], [21, 76], [21, 76], [21, 76], [21, 76], [21, 76], [21, 76], [21, 76], [21, 76], [21, 76]]
State: 98 ------> [[22, 76], [22, 76], [22, 76], [22, 76], [22, 76], [22, 76], [22, 76], [22, 76], [22, 76], [22, 76]]
State: 99 ------> [[22, 77], [22, 77], [22, 77], [22, 77], [22, 77], [22, 77], [22, 77], [22, 77], [22, 77], [22, 77]]
State: 100 ------> [[23, 77], [23, 77], [23, 77], [23, 77], [23, 77], [23, 77], [23, 77], [23, 77], [23, 77], [23, 77]]
